PRODUCTOS;AÑO;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiem.;Octubre;Noviem.;Diciem.;Anual
HORTALIZAS;;;;;;;;;;;;;;
;2021;171,06;173,72;188,31;191,47;189,13;164,16;;;;;;;
BERENJENA (100kg);2019;142,54;68,83;37,73;32,97;35,85;49,22;61,05;60,58;46,03;21,46;62,83;44,84;51,62
;2020;113,76;43,39;56,22;42,83;42,47;36,04;42,36;60,9;76,86;75,7;30,57;96,21;59,49
;2021;260,41;56,96;40,09;34,78;28,74;38,21;;;;;;;
ACELGA (100kg);2019;69,41;66,81;53,52;45,89;43,66;46,36;48,87;47,9;46,63;56,23;62,42;59,82;55,77
;2020;69,19;64,27;60,13;59,94;54,72;61,16;65,05;43,65;45,86;74,85;63,24;63,68;61,85
;2021;53,47;50,2;43,77;43,47;41,13;51,08;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
